title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
LEGO Jurassic World: Legend of Isla Nublar,2019,all,6.8,45/100,0,0,0,1,TRUE,190,5700000,,FALSE,FALSE,,1,tt10872880,tvMiniSeries
Marianne,2019,18+,7.5,73/100,0,0,0,1,TRUE,12537,9300000,800000,TRUE,TRUE,2019-09-13,1,tt10875696,tvSeries
Love & Anarchy,2020,"",7.4,52/100,0,0,0,1,TRUE,6534,10100000,1100000,TRUE,TRUE,2020-11-04,2,tt10888876,tvSeries
The Irregulars,2021,18+,5.9,63/100,0,0,0,1,TRUE,12010,17300000,1000000,TRUE,TRUE,2021-03-26,1,tt10893694,tvSeries
Nowhere Man,2019,18+,5.6,40/100,0,0,0,1,TRUE,298,400000,,TRUE,TRUE,2019-10-31,1,tt10895588,tvSeries
The Lies Within,2019,"",7,48/100,0,0,0,1,TRUE,243,8900000,300000,TRUE,TRUE,2019-10-12,1,tt10919902,tvSeries
Brews Brothers,2020,18+,5.1,49/100,0,0,0,1,TRUE,1674,400000,100000,TRUE,TRUE,2020-04-10,1,tt10930958,tvSeries
Ricky Zoom,2019,all,6.5,39/100,0,0,0,1,TRUE,67,12000000,400000,FALSE,FALSE,,1,tt10932166,tvSeries
The Upshaws,2021,16+,6.9,53/100,0,0,0,1,TRUE,1552,88600000,12900000,TRUE,TRUE,2021-05-12,4,tt10945036,tvSeries
Who Killed Malcolm X?,2019,"",7.6,52/100,0,0,0,1,TRUE,1782,1300000,100000,TRUE,TRUE,2020-02-07,1,tt10948316,tvMiniSeries
The Gift,2019,18+,7.2,69/100,1,0,0,2,FALSE,13,24200000,1600000,TRUE,TRUE,2019-12-27,3,tt10956962,tvSeries
The Haunting of Bly Manor,2020,"",7.4,74/100,0,0,0,1,TRUE,75839,40000000,2600000,TRUE,TRUE,2020-10-09,1,tt10970552,tvMiniSeries
The Crew,2021,16+,6.6,56/100,0,0,0,1,TRUE,4275,6100000,500000,TRUE,TRUE,2021-02-15,1,tt10971022,tvSeries
Queer Eye: We're in Japan!,2019,16+,8.2,54/100,0,0,0,1,TRUE,2100,1700000,200000,TRUE,TRUE,2019-11-01,1,tt10971532,tvSeries
Equinox,2020,18+,6.1,57/100,0,0,0,1,TRUE,5150,5600000,600000,TRUE,TRUE,2020-12-30,1,tt10973800,tvSeries
Living Undocumented,2019,18+,6.6,42/100,0,0,0,1,TRUE,524,900000,100000,TRUE,TRUE,2019-10-02,1,tt10977486,tvSeries
Nailed It! Spain,2019,"",5.5,29/100,0,0,0,1,TRUE,81,600000,100000,TRUE,TRUE,2019-10-25,1,tt10981666,tvSeries
Criminal: Spain,2019,7+,6.9,51/100,0,0,0,1,TRUE,3605,1500000,400000,TRUE,TRUE,2019-09-20,1,tt10986050,tvMiniSeries
